0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/lumia-800.jpg HTTP/1.1" 200 24662
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/matelas.jpg HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Microsoft_Surface_Laptop_2.jpg HTTP/1.1" 200 13867
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/oppo-a73.jpg HTTP/1.1" 200 18455
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Mysterium.jpeg HTTP/1.1" 200 82379
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/pharmacy.jpg HTTP/1.1" 200 83314
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/pantalon.jpg HTTP/1.1" 200 24355
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/protege-tibias.jpg HTTP/1.1" 200 16690
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/poignee-appui-musculation.jpg HTTP/1.1" 200 15787
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/PS3.jpg HTTP/1.1" 200 38676
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/rameur-concept.jpg HTTP/1.1" 200 27080
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Red_dead_redemption.jpg HTTP/1.1" 200 12067
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/robe.jpg HTTP/1.1" 200 29786
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/samsung-s8.jpg HTTP/1.1" 200 79973
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/samsung_galaxy_note_8.jpg HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/samsungs9.jpg HTTP/1.1" 200 23928
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/skirt.jpg HTTP/1.1" 200 24226
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Swarovski_Pendentif_Iconic_Swan.jpg HTTP/1.1" 200 35825
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/ShengShou_Puzzle_cube.jpg HTTP/1.1" 200 24365
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/tapis-de-sol.jpg HTTP/1.1" 200 20128
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/tapis-de-course.jpg HTTP/1.1" 200 16851
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/tente-de-jardin.jpg HTTP/1.1" 200 98647
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/television.jpg HTTP/1.1" 200 27102
